# ID        V        eV      rV_1     VR      eVR     VI      eVI     col2        col3       Plx       pmRA      pmDE     
  5212574   15.009   0.018   -0.781   0.942   0.022   2.142   0.023   80.357251   8.43143    1.0417    0.482     -7.583   
  5212974   17.757   0.159   -0.834   1.09    0.188   1.64    0.241   80.373942   8.384109   0.5277    0.469     0.303    
  5213187   14.188   0.01    -0.717   0.919   0.013   2.085   0.013   80.382811   8.43077    0.3223    1.294     -3.006   
  5213646   13.316   0.006   3.007    0.741   0.008   1.761   0.008   80.401923   7.803779   0.3221    2.169     1.037    
  5213408   14.176   0.01    -0.584   0.886   0.013   1.983   0.013   80.392003   8.436794   2.0193    6.723     -37.145  
  5213070   14.385   0.011   -0.269   0.771   0.015   1.853   0.015   80.377933   8.405841   0.3464    -1.267    -4.751   
  5214407   17.537   0.149   -1.203   1.341   0.17    2.633   0.163   80.433665   8.402953   1.1751    3.759     -5.123   
  5213470   17.368   0.101   -2.771   1.164   0.12    2.49    0.124   80.394593   8.235655   0.3462    0.913     3.348    
  5214322   17.325   0.113   -1.116   1.216   0.128   2.461   0.132   80.430092   8.379756   0.5733    2.379     -4.379   
  5214233   17.464   0.18    -0.903   1.161   0.199   2.141   0.209   80.426405   8.41467    0.9929    0.665     -1.338   
  5213805   17.163   0.124   -0.42    0.755   0.159   1.957   0.159   80.40858    8.43676    0.3294    -3.256    -5.029   
  5213600   15.989   0.035   -0.525   0.885   0.044   1.944   0.047   80.400016   8.433187   0.2149    2.291     1.63     
  5214055   16.522   0.116   0.253    0.538   0.149   1.676   0.14    80.418966   8.420847   0.3906    -0.743    -1.545   
  5214011   16.511   0.064   -0.783   1.042   0.075   2.241   0.074   80.417159   8.408569   0.2787    1.877     -0.691   
  5215046   17.388   0.124   -1.34    1.233   0.14    2.544   0.136   80.460289   8.375069   0.5493    4.943     -5.703   
  5215431   17.881   0.188   -1.38    0.812   0.26    2.816   0.207   80.476293   8.42814    0.7423    0.753     -7.179   
  5215043   18.137   0.212   -1.244   1.528   0.234   2.467   0.257   80.460159   8.380297   1.7165    4.712     -1.19    
  5214845   15.024   0.017   -1.181   1.046   0.021   2.329   0.021   80.451888   8.393275   1.4277    -5.792    -19.04   
  5214879   11.475   0.002   0.501    0.595   0.003   1.42    0.004   80.453314   8.395683   2.4293    -1.009    -12.292  
  5214645   16.202   0.049   -0.494   0.943   0.06    2.006   0.063   80.443576   8.416165   0.6653    2.578     -5.435   
  5215704   17.158   0.089   -0.38    1.024   0.11    1.706   0.16    80.4877     8.383777   0.7025    -0.199    0.055    
  5215144   16.836   0.072   -1.039   0.987   0.087   2.249   0.087   80.464374   8.39817    0.7802    -5.716    -2.95    
  5215371   16.274   0.045   -0.65    0.883   0.06    2.035   0.064   80.473825   8.395957   0.6062    0.57      1.484    
  5215425   14.741   0.015   1.738    1.187   0.017   2.507   0.017   80.476077   7.676121   0.5195    0.112     -0.313   
  5215950   15.89    0.038   -0.459   0.882   0.049   1.929   0.048   80.497948   8.394047   0.8689    2.957     -42.342  
  5215696   17.952   0.23    -1.951   1.585   0.245   2.968   0.241   80.487368   8.400124   1.1325    -3.176    -12.249  
  5215600   16.675   0.067   -0.297   0.996   0.083   2.313   0.083   80.483359   7.925919   -0.1991   0.326     -1.194   
  5214801   16.074   0.04    -1.204   1.115   0.048   2.364   0.048   80.45008    8.401353   1.0811    -1.087    -11.853  
  5214711   15.237   0.022   -0.369   0.833   0.028   1.909   0.03    80.446331   8.412854   0.2414    1.714     -0.395   
